,Image,K=10,K=9,K=8,K=7,K=6,K=5,K=4,K=3,K=2
368,MB16CC014,1,3,2,1,5,4,0,2,1
369,MB16CC014,1,3,2,1,5,4,0,2,1
370,MB16CC014,5,7,2,4,0,0,2,2,1
371,MB16CC014,5,7,0,1,1,0,2,2,1
372,MB16CC014,5,7,2,1,1,0,2,2,1
373,MB16CC014,5,7,2,1,1,0,2,2,1
374,MB16CC014,5,7,2,1,1,0,2,2,1
375,MB16CC014,5,7,0,1,1,0,2,2,1
376,MB16CC014,5,7,2,1,1,0,2,2,1
377,MB16CC014,5,7,2,1,1,0,2,2,1
378,MB16CC014,5,7,0,1,1,0,2,2,1
379,MB16CC014,5,7,0,4,0,0,2,2,0
380,MB16CC014,1,7,2,1,1,0,2,2,1
381,MB16CC014,7,0,4,4,0,0,2,2,0
382,MB16CC014,5,7,0,1,1,0,2,2,1
383,MB16CC014,5,7,2,4,0,0,2,2,1
384,MB16CC014,7,0,4,4,0,3,3,0,0
385,MB16CC014,5,7,0,1,1,0,2,2,1
386,MB16CC014,5,7,0,1,1,0,2,2,1
387,MB16CC014,5,7,0,1,1,0,2,2,1
388,MB16CC014,5,7,2,1,1,0,2,2,1
389,MB16CC014,5,7,2,1,1,0,2,2,1
390,MB16CC014,5,7,0,1,1,0,2,2,1
391,MB16CC014,5,7,0,4,0,0,2,2,0
392,MB16CC014,5,7,2,1,1,0,2,2,1
393,MB16CC014,5,7,0,1,1,0,2,2,1
394,MB16CC014,5,7,2,1,1,0,2,2,1
395,MB16CC014,5,7,2,1,1,0,2,2,1
396,MB16CC014,5,7,2,1,1,0,2,2,1
397,MB16CC014,5,7,0,1,1,0,2,2,1
398,MB16CC014,5,7,0,4,1,0,2,2,1
399,MB16CC014,5,7,0,4,1,0,2,2,1
400,MB16CC015,7,0,4,4,0,0,2,2,0
401,MB16CC015,5,7,2,1,1,0,2,2,1
402,MB16CC015,5,7,0,1,1,0,2,2,1
403,MB16CC015,5,7,0,4,1,0,2,2,1
404,MB16CC015,5,7,2,4,0,0,2,2,1
405,MB16CC015,1,7,2,4,0,0,0,2,1
406,MB16CC015,4,2,0,6,1,2,2,1,1
407,MB16CC015,4,1,3,6,2,1,1,1,1
408,MB16CC015,1,3,2,1,1,0,2,2,1
409,MB16CC015,5,7,2,1,1,0,2,2,1
410,MB16CC015,5,7,0,4,0,0,2,2,0
411,MB16CC015,5,7,2,1,1,0,2,2,1
412,MB16CC015,5,7,0,4,0,0,2,2,0
413,MB16CC015,5,7,0,4,0,0,2,2,1
414,MB16CC015,1,3,2,1,1,0,0,2,1
415,MB16CC015,5,7,2,1,1,0,2,2,1
416,MB16CC015,5,7,0,1,1,0,2,2,1
417,MB16CC015,5,7,0,1,1,0,2,2,1
418,MB16CC015,4,1,3,1,2,1,1,1,1
419,MB16CC015,5,7,2,1,1,0,2,2,1
420,MB16CC015,5,7,2,1,1,0,2,2,1
421,MB16CC015,5,7,0,4,1,0,2,2,1
422,MB16CC015,5,7,2,1,1,0,2,1,1
423,MB16CC015,5,7,0,1,1,0,2,2,1
424,MB16CC015,5,7,0,1,1,0,2,2,1
425,MB16CC015,5,7,2,1,1,0,2,2,1
426,MB16CC015,5,7,0,1,1,0,2,1,1
427,MB16CC015,1,3,2,1,1,0,0,2,1
428,MB16CC015,0,2,0,6,1,0,2,2,1
429,MB16CC015,5,7,2,1,1,0,2,2,1
430,MB16CC015,1,7,2,1,1,0,2,2,1
431,MB16CC015,5,7,2,1,1,0,2,2,1
432,MB16CC015,1,7,2,1,1,0,2,2,1
433,MB16CC015,5,1,3,1,1,0,2,1,1
434,MB16CC015,5,7,2,1,1,0,2,2,1
435,MB16CC015,7,0,4,4,0,0,0,2,0
436,MB16CC015,7,0,4,4,0,3,3,0,0
437,MB16CC015,3,3,3,1,5,1,0,1,1
438,MB16CC015,5,1,3,1,1,0,2,1,1
439,MB16CC015,4,1,3,6,2,1,1,1,1
440,MB16CC015,9,6,5,2,4,2,3,0,0
441,MB16CC015,4,1,3,6,2,1,1,1,1
442,MB16CC015,5,7,2,1,1,0,2,2,1
443,MB16CC015,8,5,1,3,5,4,0,2,0
444,MB16CC015,1,3,2,1,5,4,0,2,1
445,MB16CC015,5,7,2,4,0,0,2,2,1
446,MB16CC015,5,7,2,1,1,0,2,2,1
447,MB16CC015,8,5,1,3,5,4,0,2,1
448,MB16CC015,0,2,0,6,1,0,2,2,1
449,MB16CC015,5,7,2,1,1,0,2,2,1
450,MB16CC015,5,7,2,1,1,0,2,2,1
451,MB16CC015,3,5,1,3,5,4,0,1,1
452,MB16CC015,5,7,0,1,1,0,2,2,1
453,MB16CC015,4,1,3,6,2,1,1,1,1
454,MB16CC015,5,7,3,1,1,0,2,1,1
455,MB16CC015,2,4,7,0,3,3,3,0,0
456,MB16CC015,2,4,7,0,3,3,3,0,0
457,MB16CC015,8,5,1,3,5,4,0,2,1
458,MB16CC015,4,2,3,6,4,2,1,1,1
459,MB16CC016,5,7,2,1,1,0,2,2,1
460,MB16CC016,5,7,2,1,1,0,2,2,1
461,MB16CC016,5,7,2,1,1,0,2,2,1
462,MB16CC016,5,7,2,1,1,0,2,2,1
463,MB16CC016,5,7,2,1,1,0,2,2,1
464,MB16CC016,5,7,2,1,1,0,2,2,1
